FUNCTION NAME,DESCRIPTION
bytes.isspace(),"Return True if all bytes in the sequence are ASCII whitespace and the
sequence is not empty, False otherwise.  ASCII whitespace characters are
those byte values in the sequence b' \t\n\r\x0b\f' (space, tab, newline,
carriage return, vertical tab, form feed)."
bytes.istitle(),"Return True if the sequence is ASCII titlecase and the sequence is not
empty, False otherwise. See bytes.title() for more details on the
definition of “titlecase”.
For example:
>>> b'Hello World'.istitle()
True
>>> b'Hello world'.istitle()
False"
bytes.isupper(),"Return True if there is at least one uppercase alphabetic ASCII character
in the sequence and no lowercase ASCII characters, False otherwise.
For example:
>>> b'HELLO WORLD'.isupper()
True
>>> b'Hello world'.isupper()
False


Lowercase ASCII characters are those byte values in the sequence
b'abcdefghijklmnopqrstuvwxyz'. Uppercase ASCII characters
are those byte values in the sequence b'ABCDEFGHIJKLMNOPQRSTUVWXYZ'."
bytes.lower(),"Return a copy of the sequence with all the uppercase ASCII characters
converted to their corresponding lowercase counterpart.
For example:
>>> b'Hello World'.lower()
b'hello world'


Lowercase ASCII characters are those byte values in the sequence
b'abcdefghijklmnopqrstuvwxyz'. Uppercase ASCII characters
are those byte values in the sequence b'ABCDEFGHIJKLMNOPQRSTUVWXYZ'.

Note
The bytearray version of this method does not operate in place - it
always produces a new object, even if no changes were made."
bytes.splitlines(keepends=False),"Return a list of the lines in the binary sequence, breaking at ASCII
line boundaries. This method uses the universal newlines approach
to splitting lines. Line breaks are not included in the resulting list
unless keepends is given and true.
For example:
>>> b'ab c\n\nde fg\rkl\r\n'.splitlines()
[b'ab c', b'', b'de fg', b'kl']
>>> b'ab c\n\nde fg\rkl\r\n'.splitlines(keepends=True)
[b'ab c\n', b'\n', b'de fg\r', b'kl\r\n']


Unlike split() when a delimiter string sep is given, this
method returns an empty list for the empty string, and a terminal line
break does not result in an extra line:
>>> b"""".split(b'\n'), b""Two lines\n"".split(b'\n')
([b''], [b'Two lines', b''])
>>> b"""".splitlines(), b""One line\n"".splitlines()
([], [b'One line'])"
bytes.swapcase(),"Return a copy of the sequence with all the lowercase ASCII characters
converted to their corresponding uppercase counterpart and vice-versa.
For example:
>>> b'Hello World'.swapcase()
b'hELLO wORLD'


Lowercase ASCII characters are those byte values in the sequence
b'abcdefghijklmnopqrstuvwxyz'. Uppercase ASCII characters
are those byte values in the sequence b'ABCDEFGHIJKLMNOPQRSTUVWXYZ'.
Unlike str.swapcase(), it is always the case that
bin.swapcase().swapcase() == bin for the binary versions. Case
conversions are symmetrical in ASCII, even though that is not generally
true for arbitrary Unicode code points.

Note
The bytearray version of this method does not operate in place - it
always produces a new object, even if no changes were made."
bytes.title(),"Return a titlecased version of the binary sequence where words start with
an uppercase ASCII character and the remaining characters are lowercase.
Uncased byte values are left unmodified.
For example:
>>> b'Hello world'.title()
b'Hello World'


Lowercase ASCII characters are those byte values in the sequence
b'abcdefghijklmnopqrstuvwxyz'. Uppercase ASCII characters
are those byte values in the sequence b'ABCDEFGHIJKLMNOPQRSTUVWXYZ'.
All other byte values are uncased.
The algorithm uses a simple language-independent definition of a word as
groups of consecutive letters.  The definition works in many contexts but
it means that apostrophes in contractions and possessives form word
boundaries, which may not be the desired result:
>>> b""they're bill's friends from the UK"".title()
b""They'Re Bill'S Friends From The Uk""


A workaround for apostrophes can be constructed using regular expressions:
>>> import re
>>> def titlecase(s):
...     return re.sub(rb""[A-Za-z]+('[A-Za-z]+)?"",
...                   lambda mo: mo.group(0)[0:1].upper() +
...                              mo.group(0)[1:].lower(),
...                   s)
...
>>> titlecase(b""they're bill's friends."")
b""They're Bill's Friends.""



Note
The bytearray version of this method does not operate in place - it
always produces a new object, even if no changes were made."
bytes.upper(),"Return a copy of the sequence with all the lowercase ASCII characters
converted to their corresponding uppercase counterpart.
For example:
>>> b'Hello World'.upper()
b'HELLO WORLD'


Lowercase ASCII characters are those byte values in the sequence
b'abcdefghijklmnopqrstuvwxyz'. Uppercase ASCII characters
are those byte values in the sequence b'ABCDEFGHIJKLMNOPQRSTUVWXYZ'.

Note
The bytearray version of this method does not operate in place - it
always produces a new object, even if no changes were made."
bytes.zfill(width),"Return a copy of the sequence left filled with ASCII b'0' digits to
make a sequence of length width. A leading sign prefix (b'+'/
b'-') is handled by inserting the padding after the sign character
rather than before. For bytes objects, the original sequence is
returned if width is less than or equal to len(seq).
For example:
>>> b""42"".zfill(5)
b'00042'
>>> b""-42"".zfill(5)
b'-0042'



Note
The bytearray version of this method does not operate in place - it
always produces a new object, even if no changes were made."
__eq__(exporter),"A memoryview and a PEP 3118 exporter are equal if their shapes are
equivalent and if all corresponding values are equal when the operands’
respective format codes are interpreted using struct syntax.
For the subset of struct format strings currently supported by
tolist(), v and w are equal if v.tolist() == w.tolist():
>>> import array
>>> a = array.array('I', [1, 2, 3, 4, 5])
>>> b = array.array('d', [1.0, 2.0, 3.0, 4.0, 5.0])
>>> c = array.array('b', [5, 3, 1])
>>> x = memoryview(a)
>>> y = memoryview(b)
>>> x == a == y == b
True
>>> x.tolist() == a.tolist() == y.tolist() == b.tolist()
True
>>> z = y[::-2]
>>> z == c
True
>>> z.tolist() == c.tolist()
True


If either format string is not supported by the struct module,
then the objects will always compare as unequal (even if the format
strings and buffer contents are identical):
>>> from ctypes import BigEndianStructure, c_long
>>> class BEPoint(BigEndianStructure):
...     _fields_ = [(""x"", c_long), (""y"", c_long)]
...
>>> point = BEPoint(100, 200)
>>> a = memoryview(point)
>>> b = memoryview(point)
>>> a == point
False
>>> a == b
False


Note that, as with floating point numbers, v is w does not imply
v == w for memoryview objects.

Changed in version 3.3: Previous versions compared the raw memory disregarding the item format
and the logical array structure."
tobytes(order=None),"Return the data in the buffer as a bytestring.  This is equivalent to
calling the bytes constructor on the memoryview.
>>> m = memoryview(b""abc"")
>>> m.tobytes()
b'abc'
>>> bytes(m)
b'abc'


For non-contiguous arrays the result is equal to the flattened list
representation with all elements converted to bytes. tobytes()
supports all format strings, including those that are not in
struct module syntax.

New in version 3.8: order can be {‘C’, ‘F’, ‘A’}.  When order is ‘C’ or ‘F’, the data
of the original array is converted to C or Fortran order. For contiguous
views, ‘A’ returns an exact copy of the physical memory. In particular,
in-memory Fortran order is preserved. For non-contiguous views, the
data is converted to C first. order=None is the same as order=’C’."
"hex([sep[, bytes_per_sep]])","Return a string object containing two hexadecimal digits for each
byte in the buffer.
>>> m = memoryview(b""abc"")
>>> m.hex()
'616263'



New in version 3.5.


Changed in version 3.8: Similar to bytes.hex(), memoryview.hex() now supports
optional sep and bytes_per_sep parameters to insert separators
between bytes in the hex output."
tolist(),"Return the data in the buffer as a list of elements.
>>> memoryview(b'abc').tolist()
[97, 98, 99]
>>> import array
>>> a = array.array('d', [1.1, 2.2, 3.3])
>>> m = memoryview(a)
>>> m.tolist()
[1.1, 2.2, 3.3]



Changed in version 3.3: tolist() now supports all single character native formats in
struct module syntax as well as multi-dimensional
representations."
toreadonly(),"Return a readonly version of the memoryview object.  The original
memoryview object is unchanged.
>>> m = memoryview(bytearray(b'abc'))
>>> mm = m.toreadonly()
>>> mm.tolist()
[89, 98, 99]
>>> mm[0] = 42
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
TypeError: cannot modify read-only memory
>>> m[0] = 43
>>> mm.tolist()
[43, 98, 99]



New in version 3.8."
release(),"Release the underlying buffer exposed by the memoryview object.  Many
objects take special actions when a view is held on them (for example,
a bytearray would temporarily forbid resizing); therefore,
calling release() is handy to remove these restrictions (and free any
dangling resources) as soon as possible.
After this method has been called, any further operation on the view
raises a ValueError (except release() itself which can
be called multiple times):
>>> m = memoryview(b'abc')
>>> m.release()
>>> m[0]
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
ValueError: operation forbidden on released memoryview object


The context management protocol can be used for a similar effect,
using the with statement:
>>> with memoryview(b'abc') as m:
...     m[0]
...
97
>>> m[0]
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
ValueError: operation forbidden on released memoryview object



New in version 3.2."
"cast(format[, shape])","Cast a memoryview to a new format or shape. shape defaults to
[byte_length//new_itemsize], which means that the result view
will be one-dimensional. The return value is a new memoryview, but
the buffer itself is not copied. Supported casts are 1D -> C-contiguous
and C-contiguous -> 1D.
The destination format is restricted to a single element native format in
struct syntax. One of the formats must be a byte format
(‘B’, ‘b’ or ‘c’). The byte length of the result must be the same
as the original length.
Cast 1D/long to 1D/unsigned bytes:
>>> import array
>>> a = array.array('l', [1,2,3])
>>> x = memoryview(a)
>>> x.format
'l'
>>> x.itemsize
8
>>> len(x)
3
>>> x.nbytes
24
>>> y = x.cast('B')
>>> y.format
'B'
>>> y.itemsize
1
>>> len(y)
24
>>> y.nbytes
24


Cast 1D/unsigned bytes to 1D/char:
>>> b = bytearray(b'zyz')
>>> x = memoryview(b)
>>> x[0] = b'a'
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
ValueError: memoryview: invalid value for format ""B""
>>> y = x.cast('c')
>>> y[0] = b'a'
>>> b
bytearray(b'ayz')


Cast 1D/bytes to 3D/ints to 1D/signed char:
>>> import struct
>>> buf = struct.pack(""i""*12, *list(range(12)))
>>> x = memoryview(buf)
>>> y = x.cast('i', shape=[2,2,3])
>>> y.tolist()
[[[0, 1, 2], [3, 4, 5]], [[6, 7, 8], [9, 10, 11]]]
>>> y.format
'i'
>>> y.itemsize
4
>>> len(y)
2
>>> y.nbytes
48
>>> z = y.cast('b')
>>> z.format
'b'
>>> z.itemsize
1
>>> len(z)
48
>>> z.nbytes
48


Cast 1D/unsigned long to 2D/unsigned long:
>>> buf = struct.pack(""L""*6, *list(range(6)))
>>> x = memoryview(buf)
>>> y = x.cast('L', shape=[2,3])
>>> len(y)
2
>>> y.nbytes
48
>>> y.tolist()
[[0, 1, 2], [3, 4, 5]]



New in version 3.3.


Changed in version 3.5: The source format is no longer restricted when casting to a byte view."
isdisjoint(other),"Return True if the set has no elements in common with other.  Sets are
disjoint if and only if their intersection is the empty set."
issubset(other),Test whether every element in the set is in other.
set < othe,"Test whether the set is a proper subset of other, that is,
set <= other and set != other."
issuperset(other),Test whether every element in other is in the set.
set > othe,"Test whether the set is a proper superset of other, that is, set >=
other and set != other."
union(*others),Return a new set with elements from the set and all others.
intersection(*others),Return a new set with elements common to the set and all others.
difference(*others),Return a new set with elements in the set that are not in the others.
symmetric_difference(other),Return a new set with elements in either the set or other but not both.
copy(),Return a shallow copy of the set.
update(*others),"Update the set, adding elements from all others."
intersection_update(*others),"Update the set, keeping only elements found in it and all others."
difference_update(*others),"Update the set, removing elements found in others."
symmetric_difference_update(other),"Update the set, keeping only elements found in either set, but not in both."
add(elem),Add element elem to the set.
remove(elem),"Remove element elem from the set.  Raises KeyError if elem is
not contained in the set."
discard(elem),Remove element elem from the set if it is present.
pop(),"Remove and return an arbitrary element from the set.  Raises
KeyError if the set is empty."
clear(),Remove all elements from the set.
clear(),Remove all items from the dictionary.
copy(),Return a shallow copy of the dictionary.
"classmethod fromkeys(iterable[, value])","Create a new dictionary with keys from iterable and values set to value.
fromkeys() is a class method that returns a new dictionary. value
defaults to None.  All of the values refer to just a single instance,
so it generally doesn’t make sense for value to be a mutable object
such as an empty list.  To get distinct values, use a dict
comprehension instead."
"get(key[, default])","Return the value for key if key is in the dictionary, else default.
If default is not given, it defaults to None, so that this method
never raises a KeyError."
items(),"Return a new view of the dictionary’s items ((key, value) pairs).
See the documentation of view objects."
keys(),"Return a new view of the dictionary’s keys.  See the documentation
of view objects."
"pop(key[, default])","If key is in the dictionary, remove it and return its value, else return
default.  If default is not given and key is not in the dictionary,
a KeyError is raised."
popitem(),"Remove and return a (key, value) pair from the dictionary.
Pairs are returned in LIFO order.
popitem() is useful to destructively iterate over a dictionary, as
often used in set algorithms.  If the dictionary is empty, calling
popitem() raises a KeyError.

Changed in version 3.7: LIFO order is now guaranteed. In prior versions, popitem() would
return an arbitrary key/value pair."
"setdefault(key[, default])","If key is in the dictionary, return its value.  If not, insert key
with a value of default and return default.  default defaults to
None."
update([other]),"Update the dictionary with the key/value pairs from other, overwriting
existing keys.  Return None.
update() accepts either another dictionary object or an iterable of
key/value pairs (as tuples or other iterables of length two).  If keyword
arguments are specified, the dictionary is then updated with those
key/value pairs: d.update(red=1, blue=2)."
values(),"Return a new view of the dictionary’s values.  See the
documentation of view objects.
An equality comparison between one dict.values() view and another
will always return False. This also applies when comparing
dict.values() to itself:
>>> d = {'a': 1}
>>> d.values() == d.values()
False"
contextmanager.__enter__(),"Enter the runtime context and return either this object or another object
related to the runtime context. The value returned by this method is bound to
the identifier in the as clause of with statements using
this context manager.
An example of a context manager that returns itself is a file object.
File objects return themselves from __enter__() to allow open() to be
used as the context expression in a with statement.
An example of a context manager that returns a related object is the one
returned by decimal.localcontext(). These managers set the active
decimal context to a copy of the original decimal context and then return the
copy. This allows changes to be made to the current decimal context in the body
of the with statement without affecting code outside the
with statement."
"contextmanager.__exit__(exc_type, exc_val, exc_tb)","Exit the runtime context and return a Boolean flag indicating if any exception
that occurred should be suppressed. If an exception occurred while executing the
body of the with statement, the arguments contain the exception type,
value and traceback information. Otherwise, all three arguments are None.
Returning a true value from this method will cause the with statement
to suppress the exception and continue execution with the statement immediately
following the with statement. Otherwise the exception continues
propagating after this method has finished executing. Exceptions that occur
during execution of this method will replace any exception that occurred in the
body of the with statement.
The exception passed in should never be reraised explicitly - instead, this
method should return a false value to indicate that the method completed
successfully and does not want to suppress the raised exception. This allows
context management code to easily detect whether or not an __exit__()
method has actually failed."
class.mro(),"This method can be overridden by a metaclass to customize the method
resolution order for its instances.  It is called at class instantiation, and
its result is stored in __mro__."
class.__subclasses__(),"Each class keeps a list of weak references to its immediate subclasses.  This
method returns a list of all those references still alive.
Example:
>>> int.__subclasses__()
[<class 'bool'>]"
int.bit_length(),"Return the number of bits necessary to represent an integer in binary,
excluding the sign and leading zeros:
>>> n = -37
>>> bin(n)
'-0b100101'
>>> n.bit_length()
6


More precisely, if x is nonzero, then x.bit_length() is the
unique positive integer k such that 2**(k-1) <= abs(x) < 2**k.
Equivalently, when abs(x) is small enough to have a correctly
rounded logarithm, then k = 1 + int(log(abs(x), 2)).
If x is zero, then x.bit_length() returns 0.
Equivalent to:
def bit_length(self):
    s = bin(self)       # binary representation:  bin(-37) --> '-0b100101'
    s = s.lstrip('-0b') # remove leading zeros and minus sign
    return len(s)       # len('100101') --> 6



New in version 3.1."
"int.to_bytes(length, byteorder, *, signed=False)","Return an array of bytes representing an integer.
>>> (1024).to_bytes(2, byteorder='big')
b'\x04\x00'
>>> (1024).to_bytes(10, byteorder='big')
b'\x00\x00\x00\x00\x00\x00\x00\x00\x04\x00'
>>> (-1024).to_bytes(10, byteorder='big', signed=True)
b'\xff\xff\xff\xff\xff\xff\xff\xff\xfc\x00'
>>> x = 1000
>>> x.to_bytes((x.bit_length() + 7) // 8, byteorder='little')
b'\xe8\x03'


The integer is represented using length bytes.  An OverflowError
is raised if the integer is not representable with the given number of
bytes.
The byteorder argument determines the byte order used to represent the
integer.  If byteorder is ""big"", the most significant byte is at the
beginning of the byte array.  If byteorder is ""little"", the most
significant byte is at the end of the byte array.  To request the native
byte order of the host system, use sys.byteorder as the byte order
value.
The signed argument determines whether two’s complement is used to
represent the integer.  If signed is False and a negative integer is
given, an OverflowError is raised. The default value for signed
is False.

New in version 3.2."
"classmethod int.from_bytes(bytes, byteorder, *, signed=False)","Return the integer represented by the given array of bytes.
>>> int.from_bytes(b'\x00\x10', byteorder='big')
16
>>> int.from_bytes(b'\x00\x10', byteorder='little')
4096
>>> int.from_bytes(b'\xfc\x00', byteorder='big', signed=True)
-1024
>>> int.from_bytes(b'\xfc\x00', byteorder='big', signed=False)
64512
>>> int.from_bytes([255, 0, 0], byteorder='big')
16711680


The argument bytes must either be a bytes-like object or an
iterable producing bytes.
The byteorder argument determines the byte order used to represent the
integer.  If byteorder is ""big"", the most significant byte is at the
beginning of the byte array.  If byteorder is ""little"", the most
significant byte is at the end of the byte array.  To request the native
byte order of the host system, use sys.byteorder as the byte order
value.
The signed argument indicates whether two’s complement is used to
represent the integer.

New in version 3.2."
int.as_integer_ratio(),"Return a pair of integers whose ratio is exactly equal to the original
integer and with a positive denominator. The integer ratio of integers
(whole numbers) is always the integer as the numerator and 1 as the
denominator.

New in version 3.8."
float.as_integer_ratio(),"Return a pair of integers whose ratio is exactly equal to the
original float and with a positive denominator.  Raises
OverflowError on infinities and a ValueError on
NaNs."
float.is_integer(),"Return True if the float instance is finite with integral
value, and False otherwise:
>>> (-2.0).is_integer()
True
>>> (3.2).is_integer()
False"
float.hex(),"Return a representation of a floating-point number as a hexadecimal
string.  For finite floating-point numbers, this representation
will always include a leading 0x and a trailing p and
exponent."
classmethod float.fromhex(s),"Class method to return the float represented by a hexadecimal
string s.  The string s may have leading and trailing
whitespace."
container.__iter__(),"Return an iterator object.  The object is required to support the iterator
protocol described below.  If a container supports different types of
iteration, additional methods can be provided to specifically request
iterators for those iteration types.  (An example of an object supporting
multiple forms of iteration would be a tree structure which supports both
breadth-first and depth-first traversal.)  This method corresponds to the
tp_iter slot of the type structure for Python objects in the Python/C
API."
iterator.__iter__(),"Return the iterator object itself.  This is required to allow both containers
and iterators to be used with the for and in statements.
This method corresponds to the tp_iter slot of the type structure for
Python objects in the Python/C API."
iterator.__next__(),"Return the next item from the container.  If there are no further items, raise
the StopIteration exception.  This method corresponds to the
tp_iternext slot of the type structure for Python objects in the
Python/C API."
"sort(*, key=None, reverse=False)","This method sorts the list in place, using only < comparisons
between items. Exceptions are not suppressed - if any comparison operations
fail, the entire sort operation will fail (and the list will likely be left
in a partially modified state).
sort() accepts two arguments that can only be passed by keyword
(keyword-only arguments):
key specifies a function of one argument that is used to extract a
comparison key from each list element (for example, key=str.lower).
The key corresponding to each item in the list is calculated once and
then used for the entire sorting process. The default value of None
means that list items are sorted directly without calculating a separate
key value.
The functools.cmp_to_key() utility is available to convert a 2.x
style cmp function to a key function.
reverse is a boolean value.  If set to True, then the list elements
are sorted as if each comparison were reversed.
This method modifies the sequence in place for economy of space when
sorting a large sequence.  To remind users that it operates by side
effect, it does not return the sorted sequence (use sorted() to
explicitly request a new sorted list instance).
The sort() method is guaranteed to be stable.  A sort is stable if it
guarantees not to change the relative order of elements that compare equal
— this is helpful for sorting in multiple passes (for example, sort by
department, then by salary grade).
For sorting examples and a brief sorting tutorial, see Sorting HOW TO.

CPython implementation detail: While a list is being sorted, the effect of attempting to mutate, or even
inspect, the list is undefined.  The C implementation of Python makes the
list appear empty for the duration, and raises ValueError if it can
detect that the list has been mutated during a sort."
str.capitalize(),"Return a copy of the string with its first character capitalized and the
rest lowercased.

Changed in version 3.8: The first character is now put into titlecase rather than uppercase.
This means that characters like digraphs will only have their first
letter capitalized, instead of the full character."
str.casefold(),"Return a casefolded copy of the string. Casefolded strings may be used for
caseless matching.
Casefolding is similar to lowercasing but more aggressive because it is
intended to remove all case distinctions in a string. For example, the German
lowercase letter 'ß' is equivalent to ""ss"". Since it is already
lowercase, lower() would do nothing to 'ß'; casefold()
converts it to ""ss"".
The casefolding algorithm is described in section 3.13 of the Unicode
Standard.

New in version 3.3."
"str.center(width[, fillchar])","Return centered in a string of length width. Padding is done using the
specified fillchar (default is an ASCII space). The original string is
returned if width is less than or equal to len(s)."
"str.count(sub[, start[, end]])","Return the number of non-overlapping occurrences of substring sub in the
range [start, end].  Optional arguments start and end are
interpreted as in slice notation."
"str.encode(encoding=""utf-8"", errors=""strict"")","Return an encoded version of the string as a bytes object. Default encoding
is 'utf-8'. errors may be given to set a different error handling scheme.
The default for errors is 'strict', meaning that encoding errors raise
a UnicodeError. Other possible
values are 'ignore', 'replace', 'xmlcharrefreplace',
'backslashreplace' and any other name registered via
codecs.register_error(), see section Error Handlers. For a
list of possible encodings, see section Standard Encodings.

Changed in version 3.1: Support for keyword arguments added."
"str.endswith(suffix[, start[, end]])","Return True if the string ends with the specified suffix, otherwise return
False.  suffix can also be a tuple of suffixes to look for.  With optional
start, test beginning at that position.  With optional end, stop comparing
at that position."
str.expandtabs(tabsize=8),"Return a copy of the string where all tab characters are replaced by one or
more spaces, depending on the current column and the given tab size.  Tab
positions occur every tabsize characters (default is 8, giving tab
positions at columns 0, 8, 16 and so on).  To expand the string, the current
column is set to zero and the string is examined character by character.  If
the character is a tab (\t), one or more space characters are inserted
in the result until the current column is equal to the next tab position.
(The tab character itself is not copied.)  If the character is a newline
(\n) or return (\r), it is copied and the current column is reset to
zero.  Any other character is copied unchanged and the current column is
incremented by one regardless of how the character is represented when
printed.
>>> '01\t012\t0123\t01234'.expandtabs()
'01      012     0123    01234'
>>> '01\t012\t0123\t01234'.expandtabs(4)
'01  012 0123    01234'"
"str.find(sub[, start[, end]])","Return the lowest index in the string where substring sub is found within
the slice s[start:end].  Optional arguments start and end are
interpreted as in slice notation.  Return -1 if sub is not found.

Note
The find() method should be used only if you need to know the
position of sub.  To check if sub is a substring or not, use the
in operator:
>>> 'Py' in 'Python'
True"
"str.format(*args, **kwargs)","Perform a string formatting operation.  The string on which this method is
called can contain literal text or replacement fields delimited by braces
{}.  Each replacement field contains either the numeric index of a
positional argument, or the name of a keyword argument.  Returns a copy of
the string where each replacement field is replaced with the string value of
the corresponding argument.
>>> ""The sum of 1 + 2 is {0}"".format(1+2)
'The sum of 1 + 2 is 3'


See Format String Syntax for a description of the various formatting options
that can be specified in format strings.

Note
When formatting a number (int, float, complex,
decimal.Decimal and subclasses) with the n type
(ex: '{:n}'.format(1234)), the function temporarily sets the
LC_CTYPE locale to the LC_NUMERIC locale to decode
decimal_point and thousands_sep fields of localeconv() if
they are non-ASCII or longer than 1 byte, and the LC_NUMERIC locale is
different than the LC_CTYPE locale.  This temporary change affects
other threads.


Changed in version 3.7: When formatting a number with the n type, the function sets
temporarily the LC_CTYPE locale to the LC_NUMERIC locale in some
cases."
str.format_map(mapping),"Similar to str.format(**mapping), except that mapping is
used directly and not copied to a dict.  This is useful
if for example mapping is a dict subclass:
>>> class Default(dict):
...     def __missing__(self, key):
...         return key
...
>>> '{name} was born in {country}'.format_map(Default(name='Guido'))
'Guido was born in country'



New in version 3.2."
"str.index(sub[, start[, end]])","Like find(), but raise ValueError when the substring is
not found."
str.isalnum(),"Return True if all characters in the string are alphanumeric and there is at
least one character, False otherwise.  A character c is alphanumeric if one
of the following returns True: c.isalpha(), c.isdecimal(),
c.isdigit(), or c.isnumeric()."
str.isalpha(),"Return True if all characters in the string are alphabetic and there is at least
one character, False otherwise.  Alphabetic characters are those characters defined
in the Unicode character database as “Letter”, i.e., those with general category
property being one of “Lm”, “Lt”, “Lu”, “Ll”, or “Lo”.  Note that this is different
from the “Alphabetic” property defined in the Unicode Standard."
str.isascii(),"Return True if the string is empty or all characters in the string are ASCII,
False otherwise.
ASCII characters have code points in the range U+0000-U+007F.

New in version 3.7."
str.isdecimal(),"Return True if all characters in the string are decimal
characters and there is at least one character, False
otherwise. Decimal characters are those that can be used to form
numbers in base 10, e.g. U+0660, ARABIC-INDIC DIGIT
ZERO.  Formally a decimal character is a character in the Unicode
General Category “Nd”."
str.isdigit(),"Return True if all characters in the string are digits and there is at least one
character, False otherwise.  Digits include decimal characters and digits that need
special handling, such as the compatibility superscript digits.
This covers digits which cannot be used to form numbers in base 10,
like the Kharosthi numbers.  Formally, a digit is a character that has the
property value Numeric_Type=Digit or Numeric_Type=Decimal."
str.isidentifier(),"Return True if the string is a valid identifier according to the language
definition, section Identifiers and keywords.
Call keyword.iskeyword() to test whether string s is a reserved
identifier, such as def and class.
Example:
>>> from keyword import iskeyword

>>> 'hello'.isidentifier(), iskeyword('hello')
True, False
>>> 'def'.isidentifier(), iskeyword('def')
True, True"
str.islower(),"Return True if all cased characters 4 in the string are lowercase and
there is at least one cased character, False otherwise."
str.isnumeric(),"Return True if all characters in the string are numeric
characters, and there is at least one character, False
otherwise. Numeric characters include digit characters, and all characters
that have the Unicode numeric value property, e.g. U+2155,
VULGAR FRACTION ONE FIFTH.  Formally, numeric characters are those with the property
value Numeric_Type=Digit, Numeric_Type=Decimal or Numeric_Type=Numeric."
str.isprintable(),"Return True if all characters in the string are printable or the string is
empty, False otherwise.  Nonprintable characters are those characters defined
in the Unicode character database as “Other” or “Separator”, excepting the
ASCII space (0x20) which is considered printable.  (Note that printable
characters in this context are those which should not be escaped when
repr() is invoked on a string.  It has no bearing on the handling of
strings written to sys.stdout or sys.stderr.)"
str.isspace(),"Return True if there are only whitespace characters in the string and there is
at least one character, False otherwise.
A character is whitespace if in the Unicode character database
(see unicodedata), either its general category is Zs
(“Separator, space”), or its bidirectional class is one of WS,
B, or S."
str.istitle(),"Return True if the string is a titlecased string and there is at least one
character, for example uppercase characters may only follow uncased characters
and lowercase characters only cased ones.  Return False otherwise."
str.isupper(),"Return True if all cased characters 4 in the string are uppercase and
there is at least one cased character, False otherwise."
str.join(iterable),"Return a string which is the concatenation of the strings in iterable.
A TypeError will be raised if there are any non-string values in
iterable, including bytes objects.  The separator between
elements is the string providing this method."
"str.ljust(width[, fillchar])","Return the string left justified in a string of length width. Padding is
done using the specified fillchar (default is an ASCII space). The
original string is returned if width is less than or equal to len(s)."
str.lower(),"Return a copy of the string with all the cased characters 4 converted to
lowercase.
The lowercasing algorithm used is described in section 3.13 of the Unicode
Standard."
str.lstrip([chars]),"Return a copy of the string with leading characters removed.  The chars
argument is a string specifying the set of characters to be removed.  If omitted
or None, the chars argument defaults to removing whitespace.  The chars
argument is not a prefix; rather, all combinations of its values are stripped:
>>> '   spacious   '.lstrip()
'spacious   '
>>> 'www.example.com'.lstrip('cmowz.')
'example.com'"
"static str.maketrans(x[, y[, z]])","This static method returns a translation table usable for str.translate().
If there is only one argument, it must be a dictionary mapping Unicode
ordinals (integers) or characters (strings of length 1) to Unicode ordinals,
strings (of arbitrary lengths) or None.  Character keys will then be
converted to ordinals.
If there are two arguments, they must be strings of equal length, and in the
resulting dictionary, each character in x will be mapped to the character at
the same position in y.  If there is a third argument, it must be a string,
whose characters will be mapped to None in the result."
str.partition(sep),"Split the string at the first occurrence of sep, and return a 3-tuple
containing the part before the separator, the separator itself, and the part
after the separator.  If the separator is not found, return a 3-tuple containing
the string itself, followed by two empty strings."
"str.replace(old, new[, count])","Return a copy of the string with all occurrences of substring old replaced by
new.  If the optional argument count is given, only the first count
occurrences are replaced."
"str.rfind(sub[, start[, end]])","Return the highest index in the string where substring sub is found, such
that sub is contained within s[start:end].  Optional arguments start
and end are interpreted as in slice notation.  Return -1 on failure."
"str.rindex(sub[, start[, end]])","Like rfind() but raises ValueError when the substring sub is not
found."
"str.rjust(width[, fillchar])","Return the string right justified in a string of length width. Padding is
done using the specified fillchar (default is an ASCII space). The
original string is returned if width is less than or equal to len(s)."
str.rpartition(sep),"Split the string at the last occurrence of sep, and return a 3-tuple
containing the part before the separator, the separator itself, and the part
after the separator.  If the separator is not found, return a 3-tuple containing
two empty strings, followed by the string itself."
"str.rsplit(sep=None, maxsplit=-1)","Return a list of the words in the string, using sep as the delimiter string.
If maxsplit is given, at most maxsplit splits are done, the rightmost
ones.  If sep is not specified or None, any whitespace string is a
separator.  Except for splitting from the right, rsplit() behaves like
split() which is described in detail below."
str.rstrip([chars]),"Return a copy of the string with trailing characters removed.  The chars
argument is a string specifying the set of characters to be removed.  If omitted
or None, the chars argument defaults to removing whitespace.  The chars
argument is not a suffix; rather, all combinations of its values are stripped:
>>> '   spacious   '.rstrip()
'   spacious'
>>> 'mississippi'.rstrip('ipz')
'mississ'"
